    Q2        Nu        Pt2       P
1.0559998 3.3056922 0.4463581 0.6682724
1.0559998 3.3056922 0.1464358 2.8147921
1.0542531 3.9083206 0.1878936 0.5264965
1.1665775 3.2451503 0.1652240 1.2547293
1.4069463 2.5969626 0.0894081 0.9801611
1.4069463 2.5969626 0.0972516 0.4882057
1.0617349 2.9276778 0.0678448 0.4405245
1.0617349 2.9276778 0.0736354 0.2818752
1.6347074 3.6624631 0.1057968 0.3561052
1.2350084 3.2488260 0.0221943 0.4275064
1.2350084 3.2488260 0.2376231 1.1130623
1.2350084 3.2488260 0.5584101 1.3307892
1.2350084 3.2488260 0.5788394 1.0125467
2.8175451 3.6293447 0.1384459 3.0603842
1.7045712 3.8580718 0.0783952 0.5068075
1.4724284 3.5946433 0.7534754 1.6547890
1.4724284 3.5946433 0.0526545 0.2356989
1.0576289 4.0486021 0.0485350 0.2389159
1.0576289 4.0486021 0.0440764 0.5723279
1.0576289 4.0486021 0.0825829 0.4650175
1.6188553 3.8920369 0.2949611 0.8209472
1.2377842 2.4370048 0.0145461 0.2710807
1.9886487 4.1888761 0.2624742 0.6840313
1.427387  3.0272712 0.0033163 0.5502562
1.4477771 2.6668989 0.0894222 0.4282818
1.0176137 3.4638311 0.0749302 0.7022096
1.8529934 3.9511170 0.1153987 0.6292413
1.4143397 3.5668268 0.0077393 0.6031255
2.3236315 4.2129182 0.2143311 0.4741763
2.3236315 4.2129182 0.0021910 0.6222081
2.3236315 4.2129182 0.3971118 1.6872166
2.3236315 4.2129182 0.0967647 0.3962115
1.0893453 2.6669054 0.0908239 0.3036547
1.0893453 2.6669054 0.0751662 0.4600740
1.0893453 2.6669054 0.0423218 0.6440292
1.0893453 2.6669054 0.0099313 0.2047564
1.2673273 3.2724940 0.1862960 0.4544222
1.2673273 3.2724940 0.0769285 0.6670713
2.4872052 3.3961887 0.1673714 1.8247774
1.1604543 3.9910357 0.2098424 1.8532145
2.1819465 3.6153295 0.4969366 2.1630914
1.8946824 3.9167828 0.1002215 0.7104957
1.0482493 3.3377697 0.0471249 0.4171108
1.0482493 3.3377697 0.0542133 0.4056909
1.9132344 3.7679121 0.0206555 0.5801266
1.8248281 3.7413470 0.0710154 0.7564411
1.1283224 4.0117712 0.2211160 2.3101022
1.1283224 4.0117712 0.0070025 0.2547462
2.0365595 3.5739386 0.1396280 0.7558708
1.1098177 3.5782945 0.1173502 0.7268431
1.6335823 3.3699703 0.0324393 1.0016136
1.6335823 3.3699703 0.0378079 0.1956494
1.4588153 2.9347887 0.5185461 1.4208388
1.4588153 2.9347887 0.1380223 0.6432813
1.5785591 2.6208834 0.2672479 1.3058337
1.5785591 2.6208834 0.0163333 0.1577532
1.0331758 2.3885107 0.1471507 0.4599516
2.7681927 3.2366762 0.0608572 0.7121545
1.8154730 2.7437441 0.2789885 1.3533445
1.8154730 2.7437441 0.0129850 0.6307130
2.6227057 3.4448542 0.0323073 0.5792821
2.6227057 3.4448542 0.0072707 0.1932302
1.7654918 3.6377201 0.1078732 1.2969143
1.3406207 2.7664792 0.0422748 0.4924979
1.0192017 3.6976900 2.2922682 1.5499332
1.0557943 4.2158765 0.3274017 0.6114516
1.0557943 4.2158765 0.0244058 0.2685217
1.3148837 3.9871563 0.1672697 1.5590324
2.5456221 3.7076425 0.0707875 0.2693125
2.5456221 3.7076425 0.0470401 0.4305988
1.1331238 3.6506347 0.1411432 0.8869680
2.9121267 3.7458012 0.2024232 1.0330500
1.5332745 3.8617436 0.2062144 0.6124007
2.0597674 3.8400304 0.0349449 0.5222923
1.4865616 4.1381502 0.0750493 0.5806360
1.4865616 4.1381502 0.0762868 0.3073086
1.0403356 4.1021599 0.4156558 1.2146601
1.2284069 3.3734827 0.3168725 0.7164133
2.0435121 3.2469577 0.0136862 0.6153698
2.0435121 3.2469577 0.1348799 1.9183378
1.4833548 3.8180086 0.1187681 1.8798089
1.6976172 2.8878176 0.0840981 0.7275843
1.3810973 2.6625142 0.0734039 0.7703762
1.3810973 2.6625142 0.1120863 0.9560793
1.0949523 3.2840426 0.2277202 0.7161459
1.5703400 3.9107558 0.0596885 0.7042589
1.4159264 3.7330927 0.1306118 3.2372589
2.0594587 3.5405070 0.0444592 0.2259554
2.4949247 3.3773269 0.0241065 0.5644300
2.4949247 3.3773269 0.0874743 0.3272794
2.4949247 3.3773269 0.3331560 0.5825654
1.3326023 3.6015720 0.1713194 1.2611838
1.1729642 2.7090292 0.0900784 0.3761175
1.1729642 2.7090292 0.1157936 0.4219669
2.1090898 3.8379032 0.2667035 2.0490644
2.1090898 3.8379032 0.0044329 0.7247234
1.0144759 3.0759811 0.0583151 0.6678856
1.8446618 2.7893369 0.5990885 0.8136239
1.8446618 2.7893369 0.0569310 0.5730013
2.5132558 3.1721634 0.0829386 3.2752728
1.0413059 2.4896326 0.0125595 0.4681659
